RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
27;Div0;Leg-;12;42;RT27_d+12;Ger_disse;19.4
27;Div0;Leg-;15;42;RT27_d+15;Bra_napus;94
27;Div0;Leg-;18;42;RT27_d+18;Ver_persi;17.2
27;Div0;Leg-;21;42;RT27_d+21;Lol_peren;60.4
27;Div0;Leg-;24;42;RT27_d+24;Ger_disse;24.3
28;Div1;Leg-;-24;42;RT28_d-24;Lol_peren;54.4
28;Div1;Leg-;-21;42;RT28_d-21;Ger_disse;21.2
28;Div1;Leg-;-18;42;RT28_d-18;Ver_persi;24.5
28;Div1;Leg-;-15;42;RT28_d-15;Bra_napus;74.5
28;Div1;Leg-;-12;42;RT28_d-12;Lol_peren;22.7
28;Div1;Leg-;-9;42;RT28_d-9;Ger_disse;10
28;Div1;Leg-;-6;42;RT28_d-6;Ver_persi;19.8
28;Div1;Leg-;-3;42;RT28_d-3;Lol_peren;58.6
28;Div1;Leg-;0;42;RT28_d0;Bra_napus;68
28;Div1;Leg-;3;42;RT28_d+3;Ger_disse;9.8
28;Div1;Leg-;6;42;RT28_d+6;Ver_persi;26.6
28;Div1;Leg-;9;42;RT28_d+9;Lol_peren;39.2
28;Div1;Leg-;12;42;RT28_d+12;Ger_disse;11.5
28;Div1;Leg-;15;42;RT28_d+15;Bra_napus;71
28;Div1;Leg-;18;42;RT28_d+18;Ver_persi;15.6
28;Div1;Leg-;21;42;RT28_d+21;Lol_peren;39.8
28;Div1;Leg-;24;42;RT28_d+24;Ger_disse;7.1
